ID,NEW PARENT ID,Comment
ID,SC %,
SEPIO:0000004,http://purl.obolibrary.org/obo/OBI_0000011,"Remove confusion about planned process (https://github.com/HumanBehaviourChangeProject/ontologies/issues/847)"
